Word,Count
the,1994
to,964
*,817
a,721
for,645
of,603
is,577
and,441
,431
if,408
in,389
or,383
this,376
License,327
with,321
be,278
not,269
it,264
The,254
we,252
file,231
by,211
return,205
under,189
=,187
that,184
GNU,172
This,171
path,164
as,164
from,160
program,158
@param,152
on,152
an,151
have,147
distributed,146
selector,138
-,138
you,136
General,135
will,134
Public,134
string,131
all,131
copy,125
See,123
check,122
#,122
more,120
may,117
one,115
function,112
end,112
can,111
Copyright,110
should,108
{,106
version,105
are,103
list,102
any,99
but,99
only,98
create,98
},95
Match,95
<<,95
Software,94
value,94
ANY,92
Diaz,90
get,90
A,86
WITHOUT,85
do,85
You,85
OR,85
use,85
either,84
parse,81
valid,80
implied,78
no,78
skip,78
sass,78
error,77
2013,76
If,76
\License,\,76
char*,75
content,74
given,73
free,72
first,71
print,69
functions,69
Apache,68
==,67
at,67
const,66
selectors,65
ruby,65
letter,65
code,65
without,64
latin,64
some,63
see,63
context,63
does,61
has,60
FOR,59
even,59
into,59
add,59
OF,58
block,57
line,56
used,56
callback,55
===,54
specific,54
later,53
comment,53
char,52
3,51
namespace,51
result,51
FITNESS,51
PARTICULAR,51
stream,50
new,50
CSS,49
job,49
units,49
last,49
next,48
buffer,48
output,48
remove,48
parent,48
@return,48
and/or,48
(C),47
PURPOSE,47
set,46
your,46
&&,46
details,46
hope,46
THE,46
import,46
modify,46
\2012,\,45
Antonio,45
convert,45
software:,45
settings,45
work,45
\2010,\,45
\2011,\,45
\2009,\,45
software,45
WARRANTY;,44
\useful,\,44
memory,44
MERCHANTABILITY,44
license,44
warranty,44
null,44
include,43
additional,43
Free,43
information,43
(at,43
match,43
\not,\,42
copyright,42
redistribute,42
received,42
\2006,\,42
must,42
along,42
\2008,\,42
small,42
\2007,\,42
published,42
option),42
(the,42
\Foundation,\,42
terms,42
<http://www.gnu.org/licenses/>,42
\KIND,\,41
WARRANTIES,41
Character,41
\"\AS\,41
NAN,41
object,40
language,40
Optical,40
Recognition,40
there,40
position,40
other,40
else,40
TODO:,40
\2005,\,40
single,40
Ocrad,39
+,39
required,39
comments,39
name,39
ownership,39
resource,38
\"\\,38
custom,38
chars,38
node,38
entry,38
character,38
number,38
current,38
\2004,\,38
\2003,\,38
except,37
paths,37
class,37
stack,37
Version,37
i,37
Getters,37
which,36
up,36
need,36
once,36
empty,36
Licensed,36
make,35
source,35
\IS"\\,34
ToDo:,34
Unless,34
2.0,34
agreements,34
capital,34
permissions,34
Foundation,34
case,34
(ASF),34
compliance,34
input,34
http://www.apache.org/licenses/LICENSE-2.0,34
applicable,34
render,34
\writing,\,34
agreed,34
\BASIS,\,34
governing,34
limitations,34
CONDITIONS,34
contributor,34
call,34
obtain,34
ASF,34
NOTICE,34
express,34
licenses,34
found,34
since,34
law,34
regarding,34
\"\License"\);\,34
EO,33
then,33
options,33
arguments,33
characters,33
now,32
sure,32
it's,32
here,32
after,32
out,32
process,32
sequence,31
so,31
try,31
token,31
over,31
when,30
our,30
before,30
library,29
maybe,29
done,29
type,29
--,29
find,29
<,28
argument,28
NODE_MODULE_VERSION,28
data,28
IN,28
via,28
expression,28
values,28
also,27
how,27
helper,27
just,27
was,27
setters,27
//,27
double,26
bitmap,26
like,26
already,26
equivalent,26
invoke,26
them,25
utf8,25
left,25
css,25
final,25
base,25
invalid,25
1,25
SOFTWARE,25
array,25
possible,25
right,25
static,25
true,24
want,24
lex,24
same,24
handle,24
lists,24
compare,23
Returns,23
strings,23
(c),23
relative,23
MIT,23
back,23
0,23
map,23
two,23
files,23
:,23
),23
point,23
text,22
>=,22
option,22
quoted,22
seems,22
Sass,22
start,22
Node.js,22
Node,22
following,22
needed,22
between,22
until,22
side,22
>,22
=>,22
whitespace,22
assert_equal,22
simple,21
spec,21
append,21
Additional,21
open,21
pass,21
another,21
returned,21
move,21
schema,21
We,21
default,21
Check,21
I,20
<https://github.com/nodejs/nan/blob/master/LICENSE.md>,20
********************************************************************,20
appPlant,20
they,20
types,20
vector,20
contributors,20
2018,20
state,20
Native,20
items,20
false,20
complex,20
merged,20
segment,20
head,20
GmbH,20
Abstractions,20
don't,20
*******************************************************************,19
equivalent:,19
inside,19
tail,19
called,19
never,19
tests,19
\Software,\,19
unless,19
exist,19
extend,19
resolved,19
directory,19
Regex,19
generic,19
keep,19
above,19
its,19
rest,19
optional,19
reset,18
absolute,18
than,18
load,18
something,18
combinator,18
####################################,18
res://,18
operator,18
each,18
parser,18
update,18
src),18
rhs,18
advance,17
main,17
count,17
always,17
importer,17
operations,17
every,17
returns,17
abort,17
while,17
byte,17
loop,17
0;,17
errors,17
An,17
NOLINT(build/include),17
initial,17
order,17
throw,17
actually,17
look,17
test,17
unit,17
offset,16
ast,16
property,16
imp,16
root,16
nodes,16
sequence<,16
||,16
C++,16
src);,16
correctly,16
could,16
factor,16
able,16
probably,16
color,16
works,16
space,16
store,16
interpolants,16
Statement_Ptr,16
libsass,15
actual,15
handling,15
delimiter,15
otherwise,15
blob,15
constructor,15
conversion,15
thread,15
wrap,15
around,15
parsed,15
hand,15
directly,15
parsing,15
length,15
transform,15
OTHER,15
search,14
link,14
yet,14
2,14
SebastiÃ¡n,14
operators,14
asset,14
very,14
>(src);,14
copies,14
flag,14
view,14
key,14
ruby's,14
IO,14
results,14
op2,14
Katzer,14
range,14
implementation,14
Creates,14
nested,14
plugin,14
references,14
adapter,14
o,14
eval,14
tails,14
special,14
struct,14
implement,14
For,14
closer,14
base64://,14
headers,14
Prints,14
size,14
[],13
resulting,13
got,13
Decodes,13
pointer,13
might,13
access,13
both,13
replace,13
quotes,13
children,13
env,13
part,13
scope,13
means,13
available,13
void,13
keywords,13
go,13
cannot,13
been,13
frame,13
defined,13
opener,13
instance,13
Looks,13
Complex_Selector,13
original,13
where,13
these,13
e,13
using,13
directive,13
true;,13
\[],\,13
white-space,13
variable,13
method,12
multiple,12
resolve,12
freed,12
def,12
diaeresis,12
\function,\,12
filename,12
equal,12
n,12
inner,12
prefix,12
know,12
compiler,12
\file://,\,12
Functions,12
src,12
interpolant,12
control,12
way,12
compound,12
whole,12
page,12
surrogate,12
covered,12
hit,12
uri,12
item,12
lines,12
pstate,12
FUNCTIONS,12
Opens,12
String,12
condition,12
AND,12
///////////////,12
acute,12
register,12
blocks,12
derivative,12
much,11
colon,11
assertion,11
positive,11
x,11
meaningfull,11
names,11
keyword,11
c,11
UTF-8,11
query,11
throws,11
against,11
trailing,11
pair,11
NOT,11
lhs,11
mark,11
identifier,11
included,11
sign,11
really,11
printing,11
args,11
iterator,11
Bitmap,11
|,11
bool,11
index,11
associated,11
IOJS_3_0_MODULE_VERSION,11
common,11
longer,11
syntax,11
op1,11
resources,11
traces,11
close,11
afterwards,11
compile,11
zero,11
everything,11
collection,11
subject,11
generated,11
requires,11
statements,11
statement,10
===================================================================,10
blobs,10
escaped,10
(no,10
colors,10
would,10
why,10
about,10
HTML,10
quote,10
compilation,10
superselector,10
V8,10
FIXME,10
res.unshift,10
full,10
AST,10
delayed,10
grave,10
arbitrary,10
NOLINT(runtime/explicit),10
expressions,10
/,10
stuff,10
!=,10
message,10
combinators,10
\>,\,10
linefeed,10
real,10
such,10
allocate,10
circumflex,10
still,10
Object,10
objects,10
List,10
break,10
pointers,10
header,10
application,10
too,10
sequences,10
lower,10
read,10
methods,10
us,10
reference,10
s,10
[NodeCollection],10
Ruby,10
Return,10
different,10
fallback,10
/////////////////////////////////////////////////////////////////////,10
pseudo,10
newline,10
web,10
style,10
anymore,10
certain,10
plus,10
Make,10
modified,9
negative,9
caller,9
subsequence,9
subset_map,9
invoked,9
decode,9
time,9
behavior,9
away,9
their,9
It,9
evaluated,9
unicode,9
slashes,9
mode,9
constants,9
issue,9
provided,9
old,9
bytes,9
extended,9
+=,9
through,9
4,9
arrays,9
because,9
std::cerr,9
parameters,9
Unicode,9
wrapped,9
referenced,9
Use,9
we're,9
tree,9
indentation,9
\use,\,9
within,9
y,9
apply,9
write,9
JavaScript,9
dispatch,9
global,9
u,9
support,9
heads,9
strm,9
..,8
strip,8
interpolated,8
Set,8
///////////////////////////////////////////////////////////////////////////,8
bracket,8
restriction,8
form,8
versions,8
contains,8
multiline,8
hash,8
markup,8
literal,8
virtual,8
cast,8
did,8
\so,\,8
interpolation,8
interpolations,8
//////////////////////////////////////////////////////////////////////////,8
expected,8
avoid,8
put,8
most,8
ascii,8
column,8
Create,8
executable,8
based,8
dot,8
interpolate,8
delimited,8
lexer,8
Function,8
verified,8
###########################################################################,8
printer,8
written,8
specified,8
\singleton,\,8
cases,8
elements,8
lexical,8
binary,8
directives,8
flush,8
boundary,8
////////////////////////////////////////////////////////////////////,8
pretty,8
befores,8
unreachable,8
sources,8
XXX,8
image,8
opening,8
including,8
hole,8
operation,8
Uri,8
doesn't,8
define,8
arr,8
logical,8
overload,8
Creator,8
//////////////////////////////////////////////////////////////////////,8
lengths,8
hold,8
private,8
These,8
**,8
includes,8
Constructor,8
windows,8
level,8
printable,8
abstract,8
deal,8
remember,8
);,8
outside,8
///////////////////////////////////////////////////////////////////////,8
macros,8
vertical,8
table,8
declared,7
EXPRESS,7
auto,7
importers,7
isn't,7
accumulate,7
permit,7
debug,7
vectors,7
spaces,7
<=,7
Typedef,7
regular,7
ind,7
WHETHER,7
forward,7
sort,7
environment,7
op,7
itself,7
preserve,7
flatten,7
\granted,\,7
allocated,7
off,7
\LIABILITY,\,7
furnished,7
\CONTRACT,\,7
whom,7
seq2),7
WARRANTY,7
TORT,7
escape,7
obtaining,7
flattened,7
unwrap,7
NO,7
PROVIDED,7
supplied,7
\MERCHANTABILITY,\,7
allow,7
URL,7
leading,7
looks,7
document,7
LIABLE,7
word,7
TO,7
Permission,7
ARISING,7
holes,7
Setters,7
COPYRIGHT,7
declaration,7
'~',7
\distribute,\,7
BUT,7
maps,7
there's,7
SHALL,7
if(,7
scopes,7
exactly,7
\file,\,7
inline,7
delete,7
second,7
mandatory,7
\OTHERWISE,\,7
occur,7
safe,7
nothing,7
trim,7
problem,7
USE,7
env);,7
converted,7
BE,7
Number,7
think,7
passed,7
\charge,\,7
comma,7
normal,7
\[1,\,7
parentheses,7
overwrite,7
All,7
octets,7
DEALINGS,7
WITH,7
classes,7
prefixes,7
person,7
helpers,7
HOLDERS,7
top,7
internally,7
hereby,7
necessary,7
\IMPLIED,\,7
non,7
OUT,7
Recognizes,7
anything,7
variables,7
rules,7
take,7
lexed,7
increase,7
DAMAGES,7
\OperationError,\,7
(0,7
bit,7
documentation,7
INCLUDING,7
CONNECTION,7
big,7
(don't,7
standard,7
lookup,7
\FROM,\,7
NODE_9_0_MODULE_VERSION,7
enough,7
IS,7
\IS"\,\,7
LIMITED,7
Abstract,7
shouldn't,7
hex,7
EVENT,7
status,7
needs,7
structure,6
clear,6
0),6
extension,6
rights,6
existing,6
anyway,6
members,6
\"\]"\;\,6
parameter,6
B,6
NAN_JSON_H_NEED_STRINGIFY,6
consume,6
////////////////////////////,6
tempResult,6
properties,6
};,6
uses,6
//////////////////,6
correct,6
plain,6
matches,6
system,6
JSON,6
past,6
To,6
unknown,6
levels,6
entries,6
approach,6
c++,6
`x`,6
early,6
\5],\,6
notice,6
manipulation,6
ones,6
built-ins,6
app,6
elsif,6
Remove,6
separator,6
contexts,6
cause,6
filter,6
Page_image,6
nonempty,6
Helper,6
(1,6
universal,6
what,6
(,6
s;,6
calls,6
Sends,6
tag,6
=================================================================,6
tilde,6
denominator,6
zero-width,6
due,6
//////////////////////////////////////////////,6
colons,6
execute,6
scheduled,6
it),6
size_t,6
run,6
terminated,6
longest,6
etc,6
cerr,6
keys,6
compressed,6
In,6
assignment,6
entire,6
child,6
compatible,6
starts,6
unrecognized,6
Do,6
pixel,6
permission,6
Algorithm,6
inform,6
When,6
internal,6
negation,6
allowed,6
those,6
down,6
JS,6
',6
Disallow,6
portable,6
s1,6
getter,6
\[2,\,6
