File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\android\PrintAdapter.java,132,72,45,2,22,0,38,203,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\android\PrintContent.java,223,128,63,15,21,0,74,379,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\android\Printer.java,149,67,43,2,16,0,66,368,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\android\PrintIO.java,288,139,89,18,38,0,111,534,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\android\PrintManager.java,371,202,130,21,49,0,120,633,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\android\PrintOptions.java,179,115,68,21,21,0,43,190,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\android\PrintProxy.java,85,42,22,0,9,0,34,172,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios\APPPrinter.h,35,7,4,0,8,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios\APPPrinterFont.h,36,7,5,0,9,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios\APPPrinterInfo.h,27,3,1,0,4,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios\APPPrinterItem.h,29,4,2,0,5,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios\APPPrinterLayout.h,33,6,4,0,7,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios\APPPrinterPaper.h,33,6,4,0,7,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios\APPPrinterRenderer.h,27,3,1,0,4,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios\APPPrinterUnit.h,27,3,1,0,4,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios\UIPrintInteractionController+APPPrinter.h,29,4,2,0,5,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\osx\APPPrinter.h,35,7,4,0,8,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\arg_parser.cc,205,149,84,43,28,13,28,262,27,211
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,462,348,225,158,79,0,35,208,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\blob.cc,291,218,120,53,45,6,28,218,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character.cc,364,276,155,82,53,1,35,186,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r11.cc,414,347,185,95,33,14,34,228,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r12.cc,257,224,97,59,12,5,21,148,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\character_r13.cc,75,49,18,7,6,1,20,130,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\common.cc,181,128,79,27,36,3,17,129,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats.cc,279,226,114,69,30,9,23,190,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test0.cc,876,784,391,312,60,2,32,218,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test1.cc,235,193,106,76,19,0,23,161,17,123
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\main.cc,416,348,193,68,38,8,30,225,23,165
