Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,251,63891,47642,29426,7927,8467,651,7782,46092,1856,12002
C:\Users\Vivek\Documents\erp_ionic,251,63891,47642,29426,7927,8467,651,7782,46092,1856,12002
C:\Users\Vivek\Documents\erp_ionic\node_modules,234,62153,46827,28938,7848,8230,651,7096,42443,1516,10013
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer,17,1738,815,488,79,237,0,686,3649,340,1989
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src,17,1738,815,488,79,237,0,686,3649,340,1989
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\android,7,1427,765,460,79,176,0,486,2479,140,819
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\ios,9,276,43,24,0,53,0,180,1053,180,1053
C:\Users\Vivek\Documents\erp_ionic\node_modules\cordova-plugin-printer\src\osx,1,35,7,4,0,8,0,20,117,20,117
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image,45,11090,8635,5053,2362,1394,273,1061,8369,827,6006
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components,45,11090,8635,5053,2362,1394,273,1061,8369,827,6006
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower,45,11090,8635,5053,2362,1394,273,1061,8369,827,6006
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1,45,11090,8635,5053,2362,1394,273,1061,8369,827,6006
C:\Users\Vivek\Documents\erp_ionic\node_modules\nan,21,7504,5984,2787,542,1169,117,351,1738,172,656
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-gyp,2,311,230,103,20,66,2,15,99,13,90
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-gyp\gyp,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-gyp\gyp\data,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-gyp\gyp\data\win,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-gyp\lib,1,274,211,96,15,56,2,7,36,5,27
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-gyp\src,1,37,19,7,5,10,0,8,63,8,63
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass,147,41477,31136,20490,4844,5359,259,4982,28569,164,1272
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src,147,41477,31136,20490,4844,5359,259,4982,28569,164,1272
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass,117,39471,29643,19500,4616,4912,259,4916,28178,164,1272
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\contrib,1,61,37,22,5,7,0,17,111,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\include,7,696,430,267,0,132,15,134,867,5,15
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\include\sass,5,560,359,243,0,104,13,97,733,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src,102,37963,28634,18786,4588,4611,244,4718,26918,159,1257
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\b64,2,113,72,43,4,25,3,16,64,13,59
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\memory,2,320,264,166,42,35,1,21,83,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\utf8,3,901,672,362,138,122,22,107,962,72,621
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\test,7,751,542,425,23,162,0,47,282,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\sass_types,20,1088,828,525,155,253,0,7,62,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\selenium-webdriver,2,33,27,17,1,5,0,1,19,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\selenium-webdriver\lib,2,33,27,17,1,5,0,1,19,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\selenium-webdriver\lib\test,2,33,27,17,1,5,0,1,19,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\selenium-webdriver\lib\test\data,2,33,27,17,1,5,0,1,19,0,0
C:\Users\Vivek\Documents\erp_ionic\plugins,17,1738,815,488,79,237,0,686,3649,340,1989
C:\Users\Vivek\Documents\erp_ionic\plugins\cordova-plugin-printer,17,1738,815,488,79,237,0,686,3649,340,1989
C:\Users\Vivek\Documents\erp_ionic\plugins\cordova-plugin-printer\src,17,1738,815,488,79,237,0,686,3649,340,1989
C:\Users\Vivek\Documents\erp_ionic\plugins\cordova-plugin-printer\src\android,7,1427,765,460,79,176,0,486,2479,140,819
C:\Users\Vivek\Documents\erp_ionic\plugins\cordova-plugin-printer\src\ios,9,276,43,24,0,53,0,180,1053,180,1053
C:\Users\Vivek\Documents\erp_ionic\plugins\cordova-plugin-printer\src\osx,1,35,7,4,0,8,0,20,117,20,117
