File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\arg_parser.cc,"Arg_parser::parse_long_option( const char * const opt, const char * const arg, const Option options[], int & argind )",65,56,36,19,8,5,1,28,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\arg_parser.cc,"Arg_parser::parse_short_option( const char * const opt, const char * const arg, const Option options[], int & argind )",37,32,19,11,5,2,0,6,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\arg_parser.cc,"Arg_parser::Arg_parser( const int argc, const char * const argv[], const Option options[], const bool in_order )",36,33,21,9,3,4,0,12,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\arg_parser.cc,"Arg_parser::Arg_parser( const char * const opt, const char * const arg, const Option options[] )",13,12,8,4,1,2,0,5,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,"Bitmap::Bitmap( const int l, const int t, const int r, const int b )",3,3,2,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,"Bitmap::Bitmap( const Bitmap & source, const Rectangle & re )",15,13,9,3,2,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::left( const int l ),9,9,5,4,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::top( const int t ),8,8,5,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::right( const int r ),5,5,4,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::bottom( const int b ),7,7,6,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::add_bitmap( const Bitmap & bm ),5,5,3,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,"Bitmap::add_point( const int row, const int col )",4,4,4,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::add_rectangle( const Rectangle & re ),5,5,5,4,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::adjust_height(),15,14,8,10,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::adjust_width(),15,14,8,10,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::area() const,8,6,4,4,2,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::area_octagon() const,19,15,9,10,4,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,Bitmap::size_octagon() const,3,3,3,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,"Bitmap::seek_left( const int row, const int col, const bool black ) const",4,4,4,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,"Bitmap::seek_top( const int row, const int col, const bool black ) const",4,4,4,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,"Bitmap::seek_right( const int row, const int col, const bool black ) const",4,4,4,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,"Bitmap::seek_bottom( const int row, const int col, const bool black ) const",4,4,4,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\bitmap.cc,"Bitmap::escape_left( int row, int col ) const",14,13,11,9,1,0,0,0,
